collection_date,callsign,flag,mmsi,current_position,cord_n,cord_w,pos_recieved,speed,status,destination,ETA,reference
2021-06-03,WMHV,United States (USA),366235000,US East Coast,32.84991,79.93853,2 mn ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 19, 20:00",https://www.vesselfinder.com/?mmsi=366235000
2021-06-03,WMHL,United States (USA),366670000,US East Coast,32.84934,79.93651,3 mns ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 24, 18:00",https://www.vesselfinder.com/?mmsi=366670000
2021-06-03,WMHF,United States (USA),368922000,US East Coast,32.85029,79.9402,1 mn ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 24, 13:30",https://www.vesselfinder.com/?mmsi=368922000
2021-06-03,WMHJ,United States (USA),366716000,US East Coast,32.84906,79.93633,10 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=366716000
2021-06-03,WMGD,United States (USA),366698000,US East Coast,32.8498,79.9381,4 mns ago  ,0.0,Moored,"Charleston, United States (USA)","Sep 19, 10:00",https://www.vesselfinder.com/?mmsi=366698000
2021-06-03,GDSA,United Kingdom (UK),233303000,North East Atlantic Ocean,50.15367,5.05967,3 mns ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=233303000
2021-06-03,NLUP,United States (USA),367219000,North America West Coast,48.58453,126.13377,23 days ago  ,28.7,-,-,-,https://www.vesselfinder.com/?mmsi=367219000
2021-06-03,WGLW,United States (USA),368808000,US East Coast,39.88546,75.18413,393 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=368808000
2021-06-03,WMRM,United States (USA),366503000,North America West Coast,32.66862,117.12068,0 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=366503000
2021-06-03,WMRM,United States (USA),366503000,-,-,-,0 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=366503000
2021-06-03,WMRM,United States (USA),366503000,-,-,-,0 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=366503000
2021-06-03,VKCX,Australia,503172000,East Australia,33.86254,151.22511,2 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=503172000
2021-06-03,ZMCR,New Zealand,512153000,South Pacific Ocean,36.75945,174.82299,81 days ago  ,23.7,-,-,-,https://www.vesselfinder.com/?mmsi=512153000
2021-06-03,ZMCR,New Zealand,512153000,-,-,-,81 days ago  ,23.7,-,-,-,https://www.vesselfinder.com/?mmsi=512153000
2021-06-03,YBRV2,Indonesia,525100362,East Asia,14.58308,120.96751,18 hours ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=525100362
2021-06-03,4DIIF,Philippines,548118500,East Asia,14.5817,120.96623,4 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=548118500
2021-06-03,4DIIF,Philippines,548118500,-,-,-,4 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=548118500
2021-06-03,9MOC,Malaysia,533167000,Indonesia,6.01735,115.83336,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,9MOC,Malaysia,533167000,-,-,-,19 hours ago  ,18.7,-,-,-,https://www.vesselfinder.com/?mmsi=533167000
2021-06-03,SELT,Sweden,265402000,Baltic Sea,56.15797,15.57383,13 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=265402000
2021-06-03,SELT,Sweden,265402000,-,-,-,13 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=265402000
2021-06-03,SELT,Sweden,265402000,-,-,-,13 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=265402000
2021-06-03,SELT,Sweden,265402000,-,-,-,13 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=265402000
2021-06-03,SELT,Sweden,265402000,-,-,-,13 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=265402000
2021-06-03,PAKU,Netherlands,244362000,North East Atlantic Ocean,49.31986,6.84172,257 days ago  ,22.8,-,-,-,https://www.vesselfinder.com/?mmsi=244362000
2021-06-03,PAKU,Netherlands,244362000,-,-,-,257 days ago  ,22.8,-,-,-,https://www.vesselfinder.com/?mmsi=244362000
2021-06-03,PAKU,Netherlands,244362000,-,-,-,257 days ago  ,22.8,-,-,-,https://www.vesselfinder.com/?mmsi=244362000
2021-06-03,PAKU,Netherlands,244362000,-,-,-,257 days ago  ,22.8,-,-,-,https://www.vesselfinder.com/?mmsi=244362000
2021-06-03,PAKU,Netherlands,244362000,-,-,-,257 days ago  ,22.8,-,-,-,https://www.vesselfinder.com/?mmsi=244362000
2021-06-03,PAKU,Netherlands,244362000,-,-,-,257 days ago  ,22.8,-,-,-,https://www.vesselfinder.com/?mmsi=244362000
2021-06-03,GCUN,United Kingdom (UK),234572000,North East Atlantic Ocean,55.97709,4.76624,0 mn ago  ,10.7,Under way,-,-,https://www.vesselfinder.com/?mmsi=234572000
2021-06-03,ZQHC2,United Kingdom (UK),235000148,North East Atlantic Ocean,55.94577,4.72459,6 mns ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=235000148
2021-06-03,ZQOQ2,United Kingdom (UK),235000301,North East Atlantic Ocean,55.72347,5.15255,1 mn ago  ,18.5,Under way,-,-,https://www.vesselfinder.com/?mmsi=235000301
2021-06-03,ZQOQ2,United Kingdom (UK),235000301,-,-,-,1 mn ago  ,18.5,Under way,-,-,https://www.vesselfinder.com/?mmsi=235000301
2021-06-03,ZQOQ2,United Kingdom (UK),235000301,-,-,-,1 mn ago  ,18.5,Under way,-,-,https://www.vesselfinder.com/?mmsi=235000301
2021-06-03,PAYN,Netherlands,245365000,North Sea,53.00165,4.76192,13 hours ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=245365000
2021-06-03,PAYN,Netherlands,245365000,-,-,-,13 hours ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=245365000
2021-06-03,CWBR,Uruguay,770576023,South America East Coast,34.93086,56.30122,8 days ago  ,11.1,-,-,-,https://www.vesselfinder.com/?mmsi=770576023
2021-06-03,GAAS,United Kingdom (UK),235009950,North East Atlantic Ocean,50.35066,3.57679,46 mns ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=235009950
2021-06-03,NHUN,United States (USA),369970518,US East Coast,36.91585,76.16878,12 hours ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=369970518
2021-06-03,-,USA,338344616,North America West Coast,47.72721,122.74469,8 days ago  ,12.4,-,-,-,https://www.vesselfinder.com/?mmsi=338344616
2021-06-03,MDVM2,United Kingdom (UK),235015744,North Sea,51.40205,0.52653,8 days ago  ,9.3,-,-,-,https://www.vesselfinder.com/?mmsi=235015744
2021-06-03,ESQK,Estonia,276743000,Baltic Sea,54.25348,14.18499,1 mn ago  ,15.4,Under way,-,-,https://www.vesselfinder.com/?mmsi=276743000
2021-06-03,PWIN,Brazil,710455000,South America East Coast,23.08041,43.02448,14 days ago  ,20.4,-,-,-,https://www.vesselfinder.com/?mmsi=710455000
2021-06-03,-,United States (USA),368938000,North East Atlantic Ocean,36.61537,6.32934,446 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=368938000
2021-06-03,SPWP,Poland,261238000,Baltic Sea,54.421,18.65425,48 days ago  ,11.1,-,-,-,https://www.vesselfinder.com/?mmsi=261238000
2021-06-03,DRFB,Germany,211211240,North Sea,51.50716,2.88205,1 mn ago  ,2.2,Restricted,-,-,https://www.vesselfinder.com/?mmsi=211211240
2021-06-03,VMFP,Australia,503214000,West Australia,12.45049,130.80574,21 days ago  ,24.6,-,-,-,https://www.vesselfinder.com/?mmsi=503214000
2021-06-03,LBAJ,Norway,259031000,North Sea,60.34424,5.23342,30 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=259031000
2021-06-03,EBBU,Spain,224195000,North East Atlantic Ocean,64.15005,22.26227,366 days ago  ,21.9,-,-,-,https://www.vesselfinder.com/?mmsi=224195000
2021-06-03,5KMR,Colombia,730000047,South America West Coast,3.97257,77.32595,1 mn ago  ,0.0,Restricted,-,-,https://www.vesselfinder.com/?mmsi=730000047
2021-06-03,-,Germany,211211730,Aegean Sea,36.08154,23.75085,11 days ago  ,25.6,-,-,-,https://www.vesselfinder.com/?mmsi=211211730
2021-06-03,CTII,Portugal,263122000,North East Atlantic Ocean,38.67443,9.39789,367 days ago  ,19.8,-,-,-,https://www.vesselfinder.com/?mmsi=263122000
2021-06-03,CWBL,Uruguay,770576002,South America East Coast,34.9033,56.21628,22 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=770576002
2021-06-03,FAJC,France,228740000,West Mediterranean,43.11322,5.906,423 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=228740000
2021-06-03,OVFG,Denmark,220428000,North West Atlantic Ocean,63.94868,51.6045,209 days ago  ,22.6,-,-,-,https://www.vesselfinder.com/?mmsi=220428000
2021-06-03,-,United Kingdom (UK),234659000,North Sea,56.00209,3.41475,1 mn ago  ,20.9,Moored,-,-,https://www.vesselfinder.com/?mmsi=234659000
2021-06-03,DREW,Germany,211211190,Baltic Sea,54.35573,10.14244,7 days ago  ,0.7,-,-,-,https://www.vesselfinder.com/?mmsi=211211190
2021-06-03,PSC 12,USA,338123108,Gulf of Mexico,30.17198,85.75696,40 hours ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=338123108
2021-06-03,PWIG,Brazil,710507000,South America East Coast,1.15125,48.58661,332 days ago  ,5.0,-,-,-,https://www.vesselfinder.com/?mmsi=710507000
2021-06-03,FALT,France,228728000,North East Atlantic Ocean,49.22443,2.88356,105 days ago  ,23.7,-,-,-,https://www.vesselfinder.com/?mmsi=228728000
2021-06-03,JSUM,Japan,431999556,East Asia,35.3928,139.63628,76 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=431999556
2021-06-03,-,Japan,431999551,East Asia,35.053,139.69217,84 days ago  ,27.0,-,-,-,https://www.vesselfinder.com/?mmsi=431999551
2021-06-03,PWGN,Brazil,710421000,South America East Coast,0.11997,50.95787,40 days ago  ,18.5,-,-,-,https://www.vesselfinder.com/?mmsi=710421000
2021-06-03,ESQE,Estonia,276425000,Baltic Sea,59.73355,26.16864,35 days ago  ,22.2,-,-,-,https://www.vesselfinder.com/?mmsi=276425000
2021-06-03,PWBB,Brazil,710422000,South America East Coast,22.87218,43.13113,4 days ago  ,15.4,-,-,-,https://www.vesselfinder.com/?mmsi=710422000
2021-06-03,EBAY,Spain,224948000,East Mediterranean,37.32645,12.80659,32 days ago  ,15.2,-,-,-,https://www.vesselfinder.com/?mmsi=224948000
2021-06-03,PAEL,Netherlands,244472000,North Sea,52.95808,4.78215,1 mn ago  ,0.0,Moored,-,-,https://www.vesselfinder.com/?mmsi=244472000
2021-06-03,GAAY,United Kingdom (UK),232696000,North East Atlantic Ocean,50.23649,3.64005,46 mns ago  ,22.0,-,-,-,https://www.vesselfinder.com/?mmsi=232696000
2021-06-03,SNWC,Poland,261227000,Baltic Sea,54.53698,18.54411,28 hours ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=261227000
2021-06-03,DRRR,Germany,211210720,Baltic Sea,54.35765,10.14542,292 days ago  ,0.0,-,-,-,https://www.vesselfinder.com/?mmsi=211210720
2021-06-03,OUGP,Denmark,219000125,Baltic Sea,55.51067,9.67016,10 mns ago  ,20.7,Under way,-,-,https://www.vesselfinder.com/?mmsi=219000125
